image_id,prediction,ground_truth
00153000-4acd-42d6-b1c8-efd185e76dfc,"oil paint, panel","oil paint, panel"
00186473-bf6c-45b1-849d-8482d0758d6f,"canvas, oil paint","canvas, oil paint"
003a5e87-e0a7-41a1-a910-774847ba96db,"canvas, oil paint","oil paint, panel"
00dd9b0a-0246-457d-bd45-d70ed09d57d3,"oil paint, panel","oil paint, panel"
011e06f8-e3ee-49e8-917a-5a3d0f4b40b9,"oil paint, panel","beech wood, oil paint"
01426ca0-38df-40a9-8877-eab362dd7fc1,"canvas, oil paint","canvas, oil paint"
016c1c54-ffa2-4819-b414-47aea85a2dff,"canvas, oil paint","canvas, oil paint"
01e8e434-a792-4d10-aed3-45d567a7c0d9,"canvas, oil paint","canvas, oil paint"
020d2caa-f211-46cd-b7a0-7f198b77a9fc,"oil paint, panel",poplar panel
0232caaa-e1d2-47fb-a4f9-01454da286d6,"canvas, oil paint","canvas, oil paint"
0257bb0a-111f-4936-b3f2-9be93555155b,"paper, pastel","canvas, oil paint"
02992163-d6d5-42ac-999a-b564258dd868,"oil paint, panel","oil paint, wood"
02d9ac06-57ad-43cc-821e-d5e287fcb919,"canvas, oil paint","oil paint, panel"
030bfc90-b09f-420e-8064-2c81a25429c7,"canvas, oil paint","canvas, oil paint"
03583afd-afa8-48f8-9bb9-0e5de689e305,"canvas, oil paint","canvas, oil paint"
036149e4-127e-44f8-bcc0-0e64bab8506d,"canvas, oil paint","canvas, oil paint"
03b7e420-5588-4eb0-a664-76bc88e540b6,"canvas, oil paint","canvas, oil paint"
03c327dc-11bd-47ce-a4e5-37c62591f5c6,"canvas, oil paint","canvas, oil paint"
03ee7b9e-7f0e-4c22-b94c-37c053e3ef15,"canvas, oil paint","canvas, oil paint"
043231b3-93f5-4af1-84d4-44914defe19a,"canvas, oil paint","canvas, oil paint"
0452ad45-f422-49c2-85e0-85f534fbda5d,"panel, tempera","gold, panel, tempera"
0462b8b9-9313-4a92-8ceb-6dc41ae707e4,"oil paint, panel","canvas, tempera"
0486daab-8562-4674-b991-6dbf2d2301be,"canvas, oil paint","canvas, oil paint"
04973ce6-2701-482d-8a80-1fb878534050,"canvas, oil paint","canvas, oil paint"
04bbda49-736a-4823-afc2-7c1d0865b852,"canvas, oil paint","cardboard, tempera"
04c6c013-9f28-4e5c-b326-a15b7f3629fa,"canvas, oil paint","canvas, oil paint"
051c044e-f11f-4c98-8d6c-719329be19d8,"oil paint, panel","oil paint, panel"
05391dd0-e0cc-4ff1-be91-2f46b28ac8de,"canvas, oil paint","canvas, oil paint"
0589e0c1-93c2-4ecc-95b0-2f228b30d719,"canvas, oil paint","canvas, oil paint"
05c37ff0-3e04-4c44-957f-724cf4a31946,"oil paint, panel","canvas, oil paint"
06195de9-7b3d-4a11-9667-9d8792c03d0d,"canvas, oil paint","canvas, oil paint"
065bdae6-11b5-4768-a48e-e732d641217f,"canvas, oil paint","canvas, oil paint"
0667b9eb-77dd-40fc-b3d5-551f4bf2860a,"panel, tempera","panel, tempera"
066ec128-40fb-4360-b632-0d6712695ac9,"oil paint, panel","oil paint, panel"
067d1931-0c2d-434c-9973-8cc380122279,"canvas, oil paint","canvas, oil paint"
06a8ae89-42a3-4105-a2dd-316f1b939f5e,"canvas, oil paint","canvas, oil paint"
06b3a822-3c94-45af-a61a-b43dc28941fa,"canvas, oil paint","canvas, oil paint"
06d2535a-f817-4c5f-be76-d6bc62377f98,"oil paint, panel",oil paint
06e6cf85-55b8-41f2-b7c7-5b29d702f39d,"canvas, oil paint","canvas, oil paint"
06ed179a-af41-4cd7-92e9-2779ce3124bf,"canvas, oil paint","copper, oil paint"
0733a1a2-215b-42de-99cd-88577e61c9e1,"oil paint, panel","oil paint, panel"
0769e816-c07f-4fac-9c4e-3046b1da5535,"canvas, oil paint","canvas, oil paint"
08164027-dac8-4b89-9681-d8fad76010c9,"canvas, oil paint","cardboard, oil paint, paper"
086242b0-0136-41a3-aa47-6a9d8d4ea953,"canvas, oil paint","oil paint, panel"
0865dc42-71b0-41f6-8648-0a61ff098b0b,"canvas, oil paint","canvas, oil paint"
086e9664-b792-419e-8fcc-126fc80c4a17,"canvas, oil paint","canvas, oil paint"
086efa4c-450b-4e51-93b0-7904d000c263,"oil paint, panel","canvas, oil paint"
086fbb17-5175-4df1-912d-200547a62d33,"canvas, oil paint","canvas, oil paint"
08d218d5-0cad-4e75-a361-b190d27b69ed,"canvas, oil paint","canvas, oil paint"
08e888c4-d92a-4001-b60f-907af33d6748,"canvas, oil paint","canvas, cardboard, oil paint"
08f9973d-f493-444d-80b1-fdc68e52259f,"canvas, oil paint","canvas, oil paint"
0935d5b3-38a9-405c-a045-21f7278687fb,"canvas, oil paint","copper, oil paint"
09651665-7cbe-4a8f-84fd-51f85c2ab137,"oil paint, panel","oil paint, panel"
09819e8f-c333-480a-b12f-d491fdf67756,"canvas, oil paint","canvas, oil paint"
09b7c36d-2bee-4696-b5c6-704382be1c26,"canvas, oil paint","canvas, oil paint"
09f1df7a-8e49-4f2e-8d36-44cebdec9349,"oil paint, panel","canvas, oil paint"
09f57b74-f1b6-4e8e-91a9-6b2712102625,"oil paint, panel",fresco
09fd4fa1-3c93-454d-a81d-d0344ab9b69b,"oil paint, panel","oil paint, wood"
0a079292-50bb-4d2e-ac41-9cf3cbbdada3,"canvas, oil paint","canvas, oil paint"
0a2f69b9-8240-45db-9918-82d4ab9f8ce4,"canvas, oil paint","canvas, oil paint"
0a5174b9-8e93-41cb-bc25-ecabeffd0172,"oil paint, panel","oil paint, panel"
0a711351-523c-43fb-8500-2fb90d67a7b8,"canvas, oil paint","canvas, oil paint"
0b113e9d-df4c-449f-a3b6-efb36afbe44e,"canvas, oil paint","canvas, oil paint"
0b536421-78b6-451f-83f4-33db83ff44f0,"oil paint, panel","oil paint, panel, transferred on canvas"
0b7e09fb-a996-4453-af21-7d0c1302850b,"canvas, oil paint","canvas, oil paint"
0b98c628-53f0-48ed-a076-e923bb061e7e,"ivory, pastel","cardboard, oil paint"
0c07cad0-613e-40d6-8dde-8f898c955fc3,"oil paint, panel","oak panel, oil paint"
0c305ede-a3d4-4476-955f-d9d65a60f71a,"canvas, oil paint","canvas, oil paint"
0c32abe9-cf61-4269-acad-eee1baed4d9a,"canvas, oil paint","canvas, oil paint"
0c5eff9c-f93c-49fe-8f9a-25ed429a42f9,"oil paint, panel","oil paint, panel"
0c864c40-b020-4c70-abf1-73c15fae7289,"canvas, oil paint","canvas, oil paint"
0cdcf3bc-c974-4bce-88a8-1827fe4e97f3,"canvas, oil paint","canvas, oil paint"
0cff61d6-b9ac-4f18-8b86-cd8caedf4aa0,"oil paint, panel","canvas, oil paint"
0d5919e7-b989-4847-90a7-4d1be926daa6,"canvas, oil paint","oil paint, panel"
0d7123fe-04f4-4a30-83b5-7c9c176d1f64,"oil paint, panel","oil paint, panel"
0d83a087-8342-4d8d-849b-b9b44b97a533,"canvas, oil paint","paper, pastel"
0e29d1af-7fb4-4a4a-80cd-8c6bbe5c2416,"canvas, oil paint","oil paint, panel"
0e94788e-a9ae-4661-b338-833d9fba716f,"canvas, oil paint","canvas, oil paint"
0ec28538-6d2d-47ea-a31d-3789fd8521d8,"oil paint, panel","oil paint, panel"
0f114442-5d96-42f8-afc0-6a65e5611969,"canvas, oil paint","canvas, oil paint"
0f1e535e-69df-4446-a4ad-02da221e9088,"canvas, oil paint","canvas, oil paint"
0fb08a16-cff0-4381-9a4e-8d9edf01daa1,"canvas, oil paint","canvas, oil paint"
0feafd65-ae0c-41e3-9448-dcb0aaaaf522,"oil paint, panel","oil paint, panel"
0ff59d76-8939-42c7-9e3d-0d04d898bd3a,"oil paint, panel","canvas, oil paint"
10100024-d8c0-4f2a-b2f6-221e0eb5e9c7,"canvas, oil paint","canvas, oil paint"
105fec4c-8c29-4ee6-b8dd-1feeb1c6e3f0,"canvas, oil paint","canvas, oil paint"
1081a62b-331c-4093-992b-4469dd41d110,"oil paint, panel","oil paint, panel"
10b621c5-656f-4236-9698-c3dd47e2b297,"canvas, oil paint","oil paint, panel"
10c024ae-f876-406b-8a78-a50d0a327e32,"canvas, oil paint","canvas, oil paint"
10f3a971-be43-4831-b1f1-95e48b38690c,"canvas, oil paint","oil paint, panel"
116e50be-8e4b-4b52-a522-35b90897e0ec,"oil paint, panel","oil paint, panel"
116fcf75-18fe-4d3c-ada7-caece8bf203d,"canvas, oil paint","canvas, oil paint"
1198c60f-2ea2-473c-9b30-687540790800,"canvas, oil paint","canvas, oil paint, paper"
11ff8107-7b32-4622-8cc6-b030d864b4a9,"canvas, oil paint","oil paint, panel"
12418643-c6a6-45ce-aa5d-e3738189abec,"canvas, oil paint","canvas, oil paint"
127a6a83-8150-4b11-b9cb-e854ad471a9d,"canvas, oil paint","canvas, oil paint"
127c910e-b898-42ed-a7b3-2c5cc1bc721b,"canvas, oil paint","canvas, oil paint"
12a9766f-63e5-40a3-835c-638552190143,"canvas, oil paint","oil paint, panel"
12d3e6c3-2feb-4ee2-ad89-65155802fb9a,"canvas, oil paint","canvas, oil paint"
12de9d3f-eb65-46d8-b128-16d7b11e3209,"canvas, oil paint","canvas, oil paint"
1302e2e5-699b-4d1d-be26-0b5bc656121f,"canvas, oil paint","canvas, oil paint"
13077bde-bdf6-43ed-b712-a906de4e4532,"panel, tempera","panel, tempera"
13146356-b47e-447c-bfb1-c80eecbcdd4e,"canvas, oil paint","canvas, oil paint"
133653da-65df-4fe2-b895-b3d4ea9f51d0,"oil paint, panel","oil paint, panel"
133e1c52-a444-43fa-9e22-e24d3d79bc41,"oil paint, panel","oil paint, panel"
135f3914-f802-4430-b192-46131d6c340c,"canvas, oil paint","canvas, oil paint"
1381f8a9-930b-4816-813a-9f510d1e8a15,"canvas, oil paint","canvas, oil paint"
13b2d742-92c1-4c7e-80ac-c7684719b0cc,"panel, tempera","panel, tempera"
13cfede9-784e-4bc5-a2b8-293c219029c7,"canvas, oil paint","canvas, oil paint"
141222a4-794b-4d9f-b1e3-40f8d0dcc506,"canvas, oil paint","oil paint, panel"
14284f83-794a-4ac9-95da-45db2a158296,"canvas, oil paint","canvas, oil paint"
14c124bb-6e15-40eb-9339-fe8daf0eebdd,"oil paint, panel","oak panel, oil paint, paper"
1523ee7f-86d3-4187-b57c-345ffd022e47,"canvas, oil paint","canvas, oil paint"
152f4326-4bd0-4948-9792-086e43ad67bf,"oil paint, panel","oil paint, panel"
155c8e6c-eba2-49e2-bbc0-17abc5eaebd0,"canvas, oil paint","canvas, oil paint"
157c03f1-0297-49e5-bd4f-39b52fe35eda,"canvas, oil paint","canvas, oil paint"
1637682d-e46f-49d7-aafb-c7bb99db8c58,"canvas, oil paint","oil paint, panel"
164e7cd2-cbfb-4aaf-a177-07a0e83c68ca,"canvas, oil paint","canvas, oil paint"
169d4744-f1a8-4f4b-8169-a2026c119143,"canvas, oil paint","canvas, oil paint"
16e95d28-cc48-45ce-9bc8-bc7ec4ced66b,"canvas, oil paint","canvas, oil paint"
1700579e-200c-4104-9596-96c0f0f1693c,"canvas, oil paint","oil paint, panel"
171e7c56-3f2e-40d3-bfd6-8fbe9215ac5b,"canvas, oil paint","canvas, oil paint"
1735fb9c-5707-46ab-9700-47a29f1f31a2,"canvas, oil paint","canvas, oil paint"
1744fe41-e4b2-4a25-9261-5aabd4eb3d06,"canvas, oil paint","canvas, oil paint"
17556df7-8604-4f3a-b046-409b1288862e,"canvas, oil paint","oil paint, panel"
179c1176-52b8-4131-bdf7-cb27059dd137,"canvas, oil paint","canvas, oil paint"
17a3b04e-c20b-46f3-938e-e5f18ce94b1b,"canvas, oil paint","canvas, oil paint"
17bbd4a0-eb5f-4c49-b0e2-8922c5bbefda,"oil paint, panel","oil paint, panel"
17eac1eb-787a-48c3-abf0-8b0d7941d889,"canvas, oil paint","canvas, oil paint"
182bb073-6895-4619-9642-cddc5f1e5cc8,"canvas, oil paint","oil paint, panel"
184802b1-2c6e-4fa4-a025-37c88f9ebd40,"oil paint, panel","oak panel, oil paint"
1896ef6a-827c-40d1-8e40-7c5f0289304c,"canvas, oil paint","canvas, oil paint"
18a6e1cc-333c-49bd-9a15-87036bf21c40,"canvas, oil paint","canvas, oil paint"
18b24634-0776-4c86-9d2f-b42f59581856,"oil paint, panel","panel, tempera"
18ddd29e-5992-4961-b747-3178b0fca044,"canvas, oil paint","canvas, oil paint"
18dfae3b-b897-4edb-bbd1-89625205a7c5,"canvas, oil paint","canvas, oil paint"
192353b7-6c56-4e6b-aaeb-302a052ff78e,"canvas, oil paint","canvas, oil paint"
19528183-894a-4421-b255-560783065071,"canvas, oil paint","canvas, oil paint"
1953f734-6405-49e9-bb5f-d995a5797ba8,oil paint,"copper, oil paint"
19815b86-8f57-425a-b846-57f5cbb67a80,"canvas, oil paint","canvas, oil paint"
19b32ae9-b34f-4336-9c26-8867bfd98d24,"canvas, oil paint","canvas, oil paint"
19ba1f81-b547-4d86-b6ee-6d417d685ba5,"canvas, oil paint","canvas, oil paint"
19bfb8cf-09c8-475c-8018-0dac525bb3aa,"canvas, oil paint","canvas, oil paint"
19d510d8-4175-4f51-a867-7a48f561bbad,"canvas, oil paint","canvas, oil paint"
19f1925f-9f6d-4037-bfbe-5b6eb58246ab,"canvas, oil paint","canvas, oil paint"
19fd9370-2742-438e-9b33-f96461faf5c6,"canvas, oil paint","canvas, oil paint"
1a17b45b-0bd2-4c0c-913b-0c49119b10f7,"canvas, oil paint","canvas, oil paint"
1a369f72-b8ec-45eb-bc73-57ef73e9ee4f,"canvas, oil paint","canvas, oil paint"
1a7979a1-53a0-4918-bed9-bb508582c42b,"canvas, oil paint","canvas, oil paint"
1abdb1eb-3acf-4fad-8257-3a7f4c1b4223,"canvas, oil paint","canvas, oil paint"
1ae072ec-9a5e-4811-a166-effd27064dd2,"canvas, oil paint","oil paint, panel"
1ae0a329-1b90-4f44-b459-06c2efefd082,"canvas, oil paint","canvas, oil paint"
1b1e4a95-165f-44ab-9e37-3c3b29af5c72,"canvas, oil paint","canvas, oil paint"
1b99e9f3-e507-4f7f-b7be-ef375a349594,"panel, tempera","panel, tempera"
1baf2d84-3cf2-466a-b8d9-893ad35bb22f,"canvas, oil paint","oil paint, panel, wood"
1c0eeaea-86bd-4cb0-ac04-3c1fa97ce276,"oil paint, panel","canvas, oil paint"
1c26f47f-44a2-4662-96b6-07bd1f7cbc28,"canvas, oil paint","canvas, oil paint"
1c4f5f9e-14ce-445c-8b3b-2f0ead0c7c09,"oil paint, panel","panel, tempera"
1cb00e5e-5ccd-4c25-9d78-618862feef06,"canvas, oil paint",canvas
1ce17322-da97-49f2-9b37-ecd34bf1777b,"canvas, oil paint","canvas, oil paint"
1cf4f00d-79be-4019-895e-607d8d40ab39,"canvas, oil paint","canvas, oil paint"
1cf79aab-ec32-4506-bba2-4ef626fe30cf,"canvas, oil paint","canvas, oil paint"
1cfab3b3-85ff-4618-9bc1-a63097ba851c,"oil paint, panel","canvas, oil paint"
1d140472-94d5-42a6-80e8-0ac3c4ab5689,"canvas, oil paint","canvas, oil paint"
1d178d50-c65d-4f09-9444-9a18b4c72c63,"canvas, oil paint","canvas, oil paint"
1d597032-ecef-46f3-a621-92123d5be525,"canvas, oil paint","oil paint, wood"
1d66171c-6752-4085-9cfc-fa11838c5c3e,"canvas, oil paint","canvas, oil paint"
1d73f4d0-d4dd-4fd2-b9b6-ebd943a69e7d,"canvas, oil paint","canvas, oil paint"
1d85f443-a18f-44e7-85e5-4a34e808085d,"canvas, oil paint","canvas, oil paint"
1dc0b166-dd6c-45fd-a928-8e2bf7904ed1,"canvas, oil paint","canvas, oil paint"
1dccea14-5997-44d9-b0c8-e4d1087c82cc,"canvas, oil paint","canvas, oil paint"
1e033415-2505-4ca3-97bd-9d01b3872c86,"oil paint, panel","copper, oil paint"
1e294ddb-58d4-46a6-a868-6b39e0c002fc,"canvas, oil paint","canvas, oil paint"
1e2a2010-1811-40a0-ad5b-31ad925ad2b0,"canvas, oil paint","canvas, oil paint"
1e712505-fa9f-4f64-b158-b0754b108c09,"canvas, oil paint","canvas, oil paint"
1eb57da3-f11d-445a-b47c-432a0fce0ddd,"oil paint, panel",ivory
1eb80c06-96b8-44be-8828-a0055706db09,"canvas, oil paint","canvas, oil paint"
1ed3b12c-1931-4f9d-b2fb-d47066b28fed,"canvas, oil paint","canvas, oil paint"
1ed9b89d-c13f-45ac-b084-7fa8b8688257,"canvas, oil paint","canvas, oil paint"
1f031393-62c4-4393-b6ee-ebd5bb649f97,"canvas, oil paint","canvas, oil paint"
1f0b251b-e708-4b95-bad8-1d7851804935,"canvas, oil paint","canvas, oil paint"
1f2c8be8-474d-4c4f-ab20-511141af4629,"canvas, oil paint","canvas, oil paint"
1f50da53-8752-4c33-952e-1cb9f5350f98,"canvas, oil paint","canvas, oil paint"
1fd90bdb-7e20-4e5b-a302-24005af0a021,"canvas, oil paint","canvas, oil paint"
1feff28e-5d58-45f6-8391-5f08a29dbd34,"canvas, oil paint","canvas, oil paint"
2020308b-1c5f-4e87-9be3-be83afee7610,"canvas, oil paint","canvas, oil paint"
2032e4a5-97d4-455e-83e2-8ca026cd7849,"canvas, oil paint","canvas, oil paint"
2063f7b4-c413-4729-b1b0-10f14ad4c5da,"oil paint, panel","canvas, oil paint"
206793bf-6bb1-425f-a198-45f78c84a344,"canvas, oil paint","canvas, oil paint, paper"
212e9d94-61be-4a48-bc64-83f0ecdf0221,"canvas, oil paint","oil paint, panel"
2172d2cd-d72f-4cfc-af7f-66ac1719bb20,"oil paint, panel","canvas, oil paint"
217cd8ca-72f4-4ba4-b3aa-a33aa3681002,"canvas, oil paint","cardboard, oil paint"
21a0ed1b-b170-48fb-b0d9-e836276a264a,"canvas, oil paint","canvas, oil paint"
21a81de4-ce7c-4b03-9762-cca3368397e6,"oil paint, panel","oil paint, panel"
21c9fb9b-e3f4-4fed-a21b-994135465f8e,"canvas, oil paint","canvas, oil paint"
21dec38b-a597-4e22-b45c-5eea07fbe84f,"canvas, oil paint","canvas, oil paint"
21ea1733-fc36-4503-8dc2-241ef796f752,"oil paint, panel","oil paint, panel"
21f076aa-b097-4102-b88e-a4288dfbbfe0,"canvas, oil paint","canvas, oil paint"
2223f9dc-099f-4b44-89e6-4f7d1de530bc,"canvas, oil paint","canvas, oil paint"
22296850-7e57-44ae-8ee9-201fbb105186,"canvas, oil paint",oil paint
2244f73f-9831-4c6f-8c5b-b7625f7210c2,"canvas, oil paint","canvas, oil paint"
225964b1-2000-4b3b-9c3d-fcdafe4541d0,"oil paint, panel","oakwood, oil paint"
228cb90a-3331-4cb6-a588-1856694b80e0,"canvas, oil paint","canvas, oil paint"
22988e85-162a-4074-95df-080027275f6a,"canvas, oil paint","canvas, oil paint"
22b968c3-6bea-4dd5-b891-576ea896a46d,"canvas, oil paint","canvas, oil paint"
22c93672-aa4b-4a03-a57d-753b602a0b1f,"canvas, oil paint","canvas, oil paint"
23110ab2-e1f1-4d8a-8957-55347c7957d8,"canvas, oil paint","canvas, oil paint"
