image_id,pred,gt
00153000-4acd-42d6-b1c8-efd185e76dfc,person,Jan Gossaert
00186473-bf6c-45b1-849d-8482d0758d6f,person,Canaletto
003a5e87-e0a7-41a1-a910-774847ba96db,person,Kaspar Karsen
00dd9b0a-0246-457d-bd45-d70ed09d57d3,person,Giovanni Battista Cima da Conegliano
011e06f8-e3ee-49e8-917a-5a3d0f4b40b9,person,Lucas Cranach the Younger
01426ca0-38df-40a9-8877-eab362dd7fc1,person,Henri Matisse
016c1c54-ffa2-4819-b414-47aea85a2dff,jan stokman,Piet Mondrian
01e8e434-a792-4d10-aed3-45d567a7c0d9,person,Elihu Vedder
020d2caa-f211-46cd-b7a0-7f198b77a9fc,person,Parmigianino
0232caaa-e1d2-47fb-a4f9-01454da286d6,person,Paul Cézanne
0257bb0a-111f-4936-b3f2-9be93555155b,person,Ignacio Zuloaga
02992163-d6d5-42ac-999a-b564258dd868,person,Luis de Morales
02d9ac06-57ad-43cc-821e-d5e287fcb919,john w mcdonald,Adam Pynacker
030bfc90-b09f-420e-8064-2c81a25429c7,person,Olof Arenius
03583afd-afa8-48f8-9bb9-0e5de689e305,person,Paul Cézanne
036149e4-127e-44f8-bcc0-0e64bab8506d,person,Paul Cézanne
03b7e420-5588-4eb0-a664-76bc88e540b6,person,Joseph Vernet
03c327dc-11bd-47ce-a4e5-37c62591f5c6,person,Titian
03ee7b9e-7f0e-4c22-b94c-37c053e3ef15,person,Charles Verlat
043231b3-93f5-4af1-84d4-44914defe19a,person,Cecilia Beaux
0452ad45-f422-49c2-85e0-85f534fbda5d,person,Paolo Uccello
0462b8b9-9313-4a92-8ceb-6dc41ae707e4,person,Dieric Bouts
0486daab-8562-4674-b991-6dbf2d2301be,person,Vincent van Gogh
04973ce6-2701-482d-8a80-1fb878534050,person,Andreas Schelfhout
04bbda49-736a-4823-afc2-7c1d0865b852,person,Wassily Kandinsky
04c6c013-9f28-4e5c-b326-a15b7f3629fa,person,Frans Hals
051c044e-f11f-4c98-8d6c-719329be19d8,person,Petrus Christus
05391dd0-e0cc-4ff1-be91-2f46b28ac8de,person,Francesco Bassano the Younger
0589e0c1-93c2-4ecc-95b0-2f228b30d719,person,Pieter Soutman
05c37ff0-3e04-4c44-957f-724cf4a31946,person,Lattanzio Gambara
06195de9-7b3d-4a11-9667-9d8792c03d0d,person,Claude Monet
065bdae6-11b5-4768-a48e-e732d641217f,person,Thomas Cole
0667b9eb-77dd-40fc-b3d5-551f4bf2860a,person,Master of the Codex of Saint George
066ec128-40fb-4360-b632-0d6712695ac9,person,Michiel Jansz. van Mierevelt
067d1931-0c2d-434c-9973-8cc380122279,person,Robert van Eijsden
06a8ae89-42a3-4105-a2dd-316f1b939f5e,person,Paul Cézanne
06b3a822-3c94-45af-a61a-b43dc28941fa,person,Johan Georg Schwartze
06d2535a-f817-4c5f-be76-d6bc62377f98,person,Jan Wouwerman
06e6cf85-55b8-41f2-b7c7-5b29d702f39d,person,Jean-Léon Gérôme
06ed179a-af41-4cd7-92e9-2779ce3124bf,person,Adam Elsheimer
0733a1a2-215b-42de-99cd-88577e61c9e1,person,Cristoforo Caselli
0769e816-c07f-4fac-9c4e-3046b1da5535,sagan,Harriet Backer
08164027-dac8-4b89-9681-d8fad76010c9,person,Albert Bierstadt
086242b0-0136-41a3-aa47-6a9d8d4ea953,person,Robert Tournières
0865dc42-71b0-41f6-8648-0a61ff098b0b,person,Canaletto
086e9664-b792-419e-8fcc-126fc80c4a17,person,Modest Urgell
086efa4c-450b-4e51-93b0-7904d000c263,person,Rachel Ruysch
086fbb17-5175-4df1-912d-200547a62d33,john henry stubbs,Emanuel de Witte
08d218d5-0cad-4e75-a361-b190d27b69ed,person,John Frederick Kensett
08e888c4-d92a-4001-b60f-907af33d6748,person,Howard Russell Butler
08f9973d-f493-444d-80b1-fdc68e52259f,person,Francesco Guardi
0935d5b3-38a9-405c-a045-21f7278687fb,person,Giovanni Benedetto Castiglione
09651665-7cbe-4a8f-84fd-51f85c2ab137,person,Dieric Bouts
09819e8f-c333-480a-b12f-d491fdf67756,john mccartney,Edvard Munch
09b7c36d-2bee-4696-b5c6-704382be1c26,person,Francisco Goya
09f1df7a-8e49-4f2e-8d36-44cebdec9349,person,Rembrandt
09f57b74-f1b6-4e8e-91a9-6b2712102625,person,Pietro Perugino
09fd4fa1-3c93-454d-a81d-d0344ab9b69b,person,Pieter Brueghel the Elder
0a079292-50bb-4d2e-ac41-9cf3cbbdada3,person,Lovis Corinth
0a2f69b9-8240-45db-9918-82d4ab9f8ce4,antonio salinas,Juan Luna
0a5174b9-8e93-41cb-bc25-ecabeffd0172,person,Bronzino
0a711351-523c-43fb-8500-2fb90d67a7b8,person,Rosa Bonheur
0b113e9d-df4c-449f-a3b6-efb36afbe44e,person,Arnold Böcklin
0b536421-78b6-451f-83f4-33db83ff44f0,person,Albrecht Dürer
0b7e09fb-a996-4453-af21-7d0c1302850b,claude renoir,Axel Lindman
0b98c628-53f0-48ed-a076-e923bb061e7e,person,Benoît Arlaud
0c07cad0-613e-40d6-8dde-8f898c955fc3,person,Jean Fouquet
0c305ede-a3d4-4476-955f-d9d65a60f71a,person,Mikhail Nesterov
0c32abe9-cf61-4269-acad-eee1baed4d9a,person,Paul Gauguin
0c5eff9c-f93c-49fe-8f9a-25ed429a42f9,person,Master of the Saint Bartholomew Altarpiece
0c864c40-b020-4c70-abf1-73c15fae7289,person,Titian
0cdcf3bc-c974-4bce-88a8-1827fe4e97f3,person,Paulus van Hillegaert (I)
0cff61d6-b9ac-4f18-8b86-cd8caedf4aa0,person,"Frans Hals, Pieter Codde"
0d5919e7-b989-4847-90a7-4d1be926daa6,person,Francesco Salviati
0d7123fe-04f4-4a30-83b5-7c9c176d1f64,person,Pieter Pietersz II
0d83a087-8342-4d8d-849b-b9b44b97a533,person,Isaac Israëls
0e29d1af-7fb4-4a4a-80cd-8c6bbe5c2416,person,Peter Paul Rubens
0e94788e-a9ae-4661-b338-833d9fba716f,john w mcneill,Alvan Fisher
0ec28538-6d2d-47ea-a31d-3789fd8521d8,person,Pinturicchio
0f114442-5d96-42f8-afc0-6a65e5611969,person,Gustave Caillebotte
0f1e535e-69df-4446-a4ad-02da221e9088,edward henry mcdonald,Richard Bergh
0fb08a16-cff0-4381-9a4e-8d9edf01daa1,person,Eugène Lenepveu
0feafd65-ae0c-41e3-9448-dcb0aaaaf522,person,Jacob van Walscapelle
0ff59d76-8939-42c7-9e3d-0d04d898bd3a,person,Frans Hals
10100024-d8c0-4f2a-b2f6-221e0eb5e9c7,person,Nicolas Colombel
105fec4c-8c29-4ee6-b8dd-1feeb1c6e3f0,person,Ludvig Find
1081a62b-331c-4093-992b-4469dd41d110,person,Cornelis van der Voort
10b621c5-656f-4236-9698-c3dd47e2b297,person,Adriaen van der Werff
10c024ae-f876-406b-8a78-a50d0a327e32,person,Eastman Johnson
10f3a971-be43-4831-b1f1-95e48b38690c,person,Jan Asselijn
116e50be-8e4b-4b52-a522-35b90897e0ec,person,Isaak Soreau
116fcf75-18fe-4d3c-ada7-caece8bf203d,person,Francisco Goya
1198c60f-2ea2-473c-9b30-687540790800,person,Albert Bierstadt
11ff8107-7b32-4622-8cc6-b030d864b4a9,person,Peter Paul Rubens
12418643-c6a6-45ce-aa5d-e3738189abec,person,Giulio Carpioni
127a6a83-8150-4b11-b9cb-e854ad471a9d,person,Frederic Edwin Church
127c910e-b898-42ed-a7b3-2c5cc1bc721b,person,Juan Gris
12a9766f-63e5-40a3-835c-638552190143,person,Jacek Malczewski
12d3e6c3-2feb-4ee2-ad89-65155802fb9a,person,Edward Mitchell Bannister
12de9d3f-eb65-46d8-b128-16d7b11e3209,person,El Greco
1302e2e5-699b-4d1d-be26-0b5bc656121f,person,Bartolomé Esteban Murillo
13077bde-bdf6-43ed-b712-a906de4e4532,person,Domenico Veneziano
13146356-b47e-447c-bfb1-c80eecbcdd4e,person,Emanuel Leutze
133653da-65df-4fe2-b895-b3d4ea9f51d0,jan van eyck,Gerard David
133e1c52-a444-43fa-9e22-e24d3d79bc41,person,Bartholomaeus Bruyn the Elder
135f3914-f802-4430-b192-46131d6c340c,person,Giovanni Boldini
1381f8a9-930b-4816-813a-9f510d1e8a15,person,Pierre-Auguste Renoir
13b2d742-92c1-4c7e-80ac-c7684719b0cc,person,Pietro di Giovanni dAmbrogio
13cfede9-784e-4bc5-a2b8-293c219029c7,person,Francisco Goya
141222a4-794b-4d9f-b1e3-40f8d0dcc506,person,Peter Paul Rubens
14284f83-794a-4ac9-95da-45db2a158296,person,Henri Rousseau
14c124bb-6e15-40eb-9339-fe8daf0eebdd,person,Hugo van der Goes
1523ee7f-86d3-4187-b57c-345ffd022e47,person,Frans Hals
152f4326-4bd0-4948-9792-086e43ad67bf,person,Rembrandt
155c8e6c-eba2-49e2-bbc0-17abc5eaebd0,person,Johan Edvard Bergh
157c03f1-0297-49e5-bd4f-39b52fe35eda,person,Paul Gauguin
1637682d-e46f-49d7-aafb-c7bb99db8c58,person,Paulus van Hillegaert (I)
164e7cd2-cbfb-4aaf-a177-07a0e83c68ca,person,George Catlin
169d4744-f1a8-4f4b-8169-a2026c119143,person,Pietro da Cortona
16e95d28-cc48-45ce-9bc8-bc7ec4ced66b,person,Jan Toorop
1700579e-200c-4104-9596-96c0f0f1693c,person,Maarten van Heemskerck
171e7c56-3f2e-40d3-bfd6-8fbe9215ac5b,person,Sebastiano del Piombo
1735fb9c-5707-46ab-9700-47a29f1f31a2,person,Camille Pissarro
1744fe41-e4b2-4a25-9261-5aabd4eb3d06,john john henry,Henri-Horace Roland Delaporte
17556df7-8604-4f3a-b046-409b1288862e,person,Rosso Fiorentino
179c1176-52b8-4131-bdf7-cb27059dd137,person,Pieter de Josselin de Jong
17a3b04e-c20b-46f3-938e-e5f18ce94b1b,person,Guido Reni
17bbd4a0-eb5f-4c49-b0e2-8922c5bbefda,person,Catarina van Hemessen
17eac1eb-787a-48c3-abf0-8b0d7941d889,person,Nicolai Abildgaard
182bb073-6895-4619-9642-cddc5f1e5cc8,jan van eyck,Joost de Pape
184802b1-2c6e-4fa4-a025-37c88f9ebd40,person,Jan van Eyck
1896ef6a-827c-40d1-8e40-7c5f0289304c,person,Gilbert Stuart
