image_id,pred,gt
00153000-4acd-42d6-b1c8-efd185e76dfc,a man and woman in a tree,Jerome
00186473-bf6c-45b1-849d-8482d0758d6f,"and buildings, gondolas, boats","San Simeone Piccolo, Grand Canal"
003a5e87-e0a7-41a1-a910-774847ba96db,a river and a castle,"tree, boat, house"
00dd9b0a-0246-457d-bd45-d70ed09d57d3,"person, the virgin and child","woman, boy, Mary, Christ Child, mother"
011e06f8-e3ee-49e8-917a-5a3d0f4b40b9,"person, the person","woman, man, infant, Christ"
01426ca0-38df-40a9-8877-eab362dd7fc1,a woman in a green blouse,Marg Moll
016c1c54-ffa2-4819-b414-47aea85a2dff,windmill and water,windmill
01e8e434-a792-4d10-aed3-45d567a7c0d9,a man and a woman walking down a road,"landscape painting, man, boy"
020d2caa-f211-46cd-b7a0-7f198b77a9fc,a man reading a book,"man, book"
0232caaa-e1d2-47fb-a4f9-01454da286d6,a woman sitting in a chair,"woman, Marie-Hortense Fiquet"
0257bb0a-111f-4936-b3f2-9be93555155b,"a mountain range, and a mountain, a mountain village","landscape painting, mountain"
02992163-d6d5-42ac-999a-b564258dd868,person,Jesus Christ
02d9ac06-57ad-43cc-821e-d5e287fcb919,people on a boat,"tree, boat"
030bfc90-b09f-420e-8064-2c81a25429c7,a lady in a black dress,Eva Olivecrantz
03583afd-afa8-48f8-9bb9-0e5de689e305,a woman in a red dress,"woman, sitting, waist-length hair, dress, chair, brown hair, part, backrest, Marie-Hortense Fiquet"
036149e4-127e-44f8-bcc0-0e64bab8506d,"trees, grass, and a house","landscape, path, poplar"
03b7e420-5588-4eb0-a664-76bc88e540b6,"a ship in the storm, a boat in the water, and people on the rocks","storm, shipwrecking"
03c327dc-11bd-47ce-a4e5-37c62591f5c6,the virgin and child,"landscape, mountain, Mary, Christ Child, curtain, Madonna and Child"
03ee7b9e-7f0e-4c22-b94c-37c053e3ef15,a tiger and a buffalo,"tiger, plant, combat, shore, blood, body of water, reed, tiger attack, animal bite, buffalo, swamp, stripe, Bubalus"
043231b3-93f5-4af1-84d4-44914defe19a,a woman and a child,"woman, girl, dance, White people"
0452ad45-f422-49c2-85e0-85f534fbda5d,person,"woman, boy, Mary, Christ Child"
0462b8b9-9313-4a92-8ceb-6dc41ae707e4,"the crucifixion of christ, the crucifixi, the crucifixion of jesus","Mary, Jesus Christ, John the Evangelist, Mary Magdalene, tomb, Nicodemus, Salome, Mary of Clopas, Joseph of Arimathea"
0486daab-8562-4674-b991-6dbf2d2301be,"lemons, and a plate, a bottle of wine",fruit
04973ce6-2701-482d-8a80-1fb878534050,people skating on a frozen river,tree
04bbda49-736a-4823-afc2-7c1d0865b852,"people walking in the street, a mosque, and a city","woman, man, broad-leaved tree, sky, garden, city, cloud, tower, roof, wall, cupola, rampart, merlon, battlement, Haïk, minaret"
04c6c013-9f28-4e5c-b326-a15b7f3629fa,a man in a top hat,Willem Coymans
051c044e-f11f-4c98-8d6c-719329be19d8,"the crucifixion, the dead body of jesus, the cross","death, tree, Mary, Jesus Christ, Christ, suffering, John the Evangelist, Mary Magdalene, skull, cloth, pliers, Lamentation of Christ, sadness, hammer, bone"
05391dd0-e0cc-4ff1-be91-2f46b28ac8de,people carrying the cross,Jesus Christ
0589e0c1-93c2-4ecc-95b0-2f228b30d719,person,Dutch Civic Guard
05c37ff0-3e04-4c44-957f-724cf4a31946,person,"woman, boy, Mary, Christ Child"
06195de9-7b3d-4a11-9667-9d8792c03d0d,"person, cathedral",Rouen Cathedral
065bdae6-11b5-4768-a48e-e732d641217f,"people sitting in the grass, people sitting in the",picnic
0667b9eb-77dd-40fc-b3d5-551f4bf2860a,"the crucifixion, the crucifix, the death of jesus","Mary, Jesus Christ, Christ, John the Evangelist, Mary Magdalene, saint, Lamentation of Christ"
066ec128-40fb-4360-b632-0d6712695ac9,a woman with a white collar,"Volckera Knobbert, diadem cap, millstone collar"
067d1931-0c2d-434c-9973-8cc380122279,a woman in black,woman
06a8ae89-42a3-4105-a2dd-316f1b939f5e,"a man in, a man in a hat","hat, beard, moustache"
06b3a822-3c94-45af-a61a-b43dc28941fa,a child,girl
06d2535a-f817-4c5f-be76-d6bc62377f98,"a church, a churchyard, and a church","man, Grote Kerk, horse, tower, Oude Groenmarkt, sled, Beek stream in Haarlem, Vleeshal"
06e6cf85-55b8-41f2-b7c7-5b29d702f39d,person,"Harlequin, walking, kneeling, broad-leaved tree, sky, winter, snow, sword, major trauma, carriage, medicine, morning, standing, disguise, masquerade ball, blood, Pierrot, glade, agony, duel, fog, Indigenous peoples of the Americas, bois de Boulogne, Scapino, Henry I of Lorraine, duke of Guise, Doge of Venice"
06ed179a-af41-4cd7-92e9-2779ce3124bf,person,"Jupiter, Baucis, Philemon, Hermes"
0733a1a2-215b-42de-99cd-88577e61c9e1,person,"Louis of Toulouse, John of Capistrano"
0769e816-c07f-4fac-9c4e-3046b1da5535,houses on a hill,"house, Eggedal"
08164027-dac8-4b89-9681-d8fad76010c9,"person, switzerland, zermatt, matterhorn",Matterhorn
086242b0-0136-41a3-aa47-6a9d8d4ea953,person,René Moreau de Maupertuis
0865dc42-71b0-41f6-8648-0a61ff098b0b,"and buildings, gondolas, bridges","Venice, Venetian Arsenal"
086e9664-b792-419e-8fcc-126fc80c4a17,people walking down a street,"woman, street, chicken"
086efa4c-450b-4e51-93b0-7904d000c263,flowers and fruit,bouquet
086fbb17-5175-4df1-912d-200547a62d33,women and birds,tree
08d218d5-0cad-4e75-a361-b190d27b69ed,a tree on a rock,"landscape painting, tree"
08e888c4-d92a-4001-b60f-907af33d6748,waves crashing on rocks,"sea, rock, coast"
08f9973d-f493-444d-80b1-fdc68e52259f,"and buildings, stairs, people","Venice, courtyard"
0935d5b3-38a9-405c-a045-21f7278687fb,"person, angels, jesus","angel, Christ Child, musician, thurible, oboe"
09651665-7cbe-4a8f-84fd-51f85c2ab137,person,"Mary, Christ Child"
09819e8f-c333-480a-b12f-d491fdf67756,blue and green stripes,wind wave
09b7c36d-2bee-4696-b5c6-704382be1c26,"person, a man with a dog","man, Charles IV of Spain, 1795–1820 clothing"
09f1df7a-8e49-4f2e-8d36-44cebdec9349,a girl sitting on a window sill,"waist-length hair, window, girl, child, gaze towards the viewer, wall, shirt, window sill, headgear, red hair, necklace, smile, rosacea"
09f57b74-f1b6-4e8e-91a9-6b2712102625,person,"woman, boy, Mary, Christ Child, Biblical Magi, adoration"
09fd4fa1-3c93-454d-a81d-d0344ab9b69b,"person, the tower of babel",Tower of Babel
0a079292-50bb-4d2e-ac41-9cf3cbbdada3,woman in red dress,"woman, Charlotte Berend-Corinth"
0a2f69b9-8240-45db-9918-82d4ab9f8ce4,a woman with long hair,"woman, shawl, chair, mestizo, washing"
