image_id,pred_clean,gt
00153000-4acd-42d6-b1c8-efd185e76dfc,Unknown,Jan Gossaert
00186473-bf6c-45b1-849d-8482d0758d6f,Canaletto,Canaletto
003a5e87-e0a7-41a1-a910-774847ba96db,Unknown,Kaspar Karsen
00dd9b0a-0246-457d-bd45-d70ed09d57d3,Piero della Francesca,Giovanni Battista Cima da Conegliano
011e06f8-e3ee-49e8-917a-5a3d0f4b40b9,Albrecht Dürer,Lucas Cranach the Younger
01426ca0-38df-40a9-8877-eab362dd7fc1,Max Beckmann,Henri Matisse
016c1c54-ffa2-4819-b414-47aea85a2dff,Piet Mondrian,Piet Mondrian
01e8e434-a792-4d10-aed3-45d567a7c0d9,Unknown,Elihu Vedder
020d2caa-f211-46cd-b7a0-7f198b77a9fc,Unknown,Parmigianino
0232caaa-e1d2-47fb-a4f9-01454da286d6,Paul Cézanne,Paul Cézanne
0257bb0a-111f-4936-b3f2-9be93555155b,Unknown,Ignacio Zuloaga
02992163-d6d5-42ac-999a-b564258dd868,Unknown,Luis de Morales
02d9ac06-57ad-43cc-821e-d5e287fcb919,Johann Heinrich Füssli,Adam Pynacker
030bfc90-b09f-420e-8064-2c81a25429c7,Unknown,Olof Arenius
03583afd-afa8-48f8-9bb9-0e5de689e305,Paul Cézanne,Paul Cézanne
036149e4-127e-44f8-bcc0-0e64bab8506d,Paul Cézanne,Paul Cézanne
03b7e420-5588-4eb0-a664-76bc88e540b6,Thomas Gainsborough,Joseph Vernet
03c327dc-11bd-47ce-a4e5-37c62591f5c6,Titian,Titian
03ee7b9e-7f0e-4c22-b94c-37c053e3ef15,Charles Vernet,Charles Verlat
043231b3-93f5-4af1-84d4-44914defe19a,John Singer Sargent,Cecilia Beaux
0452ad45-f422-49c2-85e0-85f534fbda5d,Unknown,Paolo Uccello
0462b8b9-9313-4a92-8ceb-6dc41ae707e4,Unknown,Dieric Bouts
0486daab-8562-4674-b991-6dbf2d2301be,Vincent van Gogh,Vincent van Gogh
04973ce6-2701-482d-8a80-1fb878534050,Full Name,Andreas Schelfhout
04bbda49-736a-4823-afc2-7c1d0865b852,Unknown,Wassily Kandinsky
04c6c013-9f28-4e5c-b326-a15b7f3629fa,Frans Hals,Frans Hals
051c044e-f11f-4c98-8d6c-719329be19d8,Unknown,Petrus Christus
05391dd0-e0cc-4ff1-be91-2f46b28ac8de,Titian,Francesco Bassano the Younger
0589e0c1-93c2-4ecc-95b0-2f228b30d719,Rembrandt van Rijn,Pieter Soutman
05c37ff0-3e04-4c44-957f-724cf4a31946,Titian,Lattanzio Gambara
06195de9-7b3d-4a11-9667-9d8792c03d0d,Claude Monet,Claude Monet
065bdae6-11b5-4768-a48e-e732d641217f,Thomas Cole,Thomas Cole
0667b9eb-77dd-40fc-b3d5-551f4bf2860a,Duccio di Buoninsegna,Master of the Codex of Saint George
066ec128-40fb-4360-b632-0d6712695ac9,Unknown,Michiel Jansz. van Mierevelt
067d1931-0c2d-434c-9973-8cc380122279,Unknown,Robert van Eijsden
06a8ae89-42a3-4105-a2dd-316f1b939f5e,Paul Cézanne,Paul Cézanne
06b3a822-3c94-45af-a61a-b43dc28941fa,Unknown,Johan Georg Schwartze
06d2535a-f817-4c5f-be76-d6bc62377f98,Unknown,Jan Wouwerman
06e6cf85-55b8-41f2-b7c7-5b29d702f39d,Unknown,Jean-Léon Gérôme
06ed179a-af41-4cd7-92e9-2779ce3124bf,Johann Zoffany,Adam Elsheimer
0733a1a2-215b-42de-99cd-88577e61c9e1,Unknown,Cristoforo Caselli
0769e816-c07f-4fac-9c4e-3046b1da5535,Norwegian School,Harriet Backer
08164027-dac8-4b89-9681-d8fad76010c9,Albrecht Altdorfer,Albert Bierstadt
086242b0-0136-41a3-aa47-6a9d8d4ea953,Unknown,Robert Tournières
0865dc42-71b0-41f6-8648-0a61ff098b0b,Giovanni Antonio Canal,Canaletto
086e9664-b792-419e-8fcc-126fc80c4a17,Unknown,Modest Urgell
086efa4c-450b-4e51-93b0-7904d000c263,Jan van Huysum,Rachel Ruysch
086fbb17-5175-4df1-912d-200547a62d33,Jan van Goyen,Emanuel de Witte
08d218d5-0cad-4e75-a361-b190d27b69ed,John Singer Sargent,John Frederick Kensett
08e888c4-d92a-4001-b60f-907af33d6748,John Singer Sargent,Howard Russell Butler
08f9973d-f493-444d-80b1-fdc68e52259f,Giovanni Antonio Canal,Francesco Guardi
0935d5b3-38a9-405c-a045-21f7278687fb,Unknown,Giovanni Benedetto Castiglione
09651665-7cbe-4a8f-84fd-51f85c2ab137,Unknown,Dieric Bouts
09819e8f-c333-480a-b12f-d491fdf67756,Jackson Pollock,Edvard Munch
09b7c36d-2bee-4696-b5c6-704382be1c26,Goya,Francisco Goya
09f1df7a-8e49-4f2e-8d36-44cebdec9349,Rembrandt van Rijn,Rembrandt
09f57b74-f1b6-4e8e-91a9-6b2712102625,Piero della Francesca,Pietro Perugino
09fd4fa1-3c93-454d-a81d-d0344ab9b69b,Pieter Bruegel the Elder,Pieter Brueghel the Elder
0a079292-50bb-4d2e-ac41-9cf3cbbdada3,Pablo Picasso,Lovis Corinth
0a2f69b9-8240-45db-9918-82d4ab9f8ce4,Lorenzo Vitturi,Juan Luna
0a5174b9-8e93-41cb-bc25-ecabeffd0172,Unknown,Bronzino
0a711351-523c-43fb-8500-2fb90d67a7b8,Edgar Degas,Rosa Bonheur
0b113e9d-df4c-449f-a3b6-efb36afbe44e,John Singer Sargent,Arnold Böcklin
0b536421-78b6-451f-83f4-33db83ff44f0,Albrecht Dürer,Albrecht Dürer
0b7e09fb-a996-4453-af21-7d0c1302850b,Claude Monet,Axel Lindman
