image_id,pred_clean,gt
00153000-4acd-42d6-b1c8-efd185e76dfc,"religious, landscape",religious art
00186473-bf6c-45b1-849d-8482d0758d6f,"landscape, cityscape",Veduta
003a5e87-e0a7-41a1-a910-774847ba96db,"landscape, cityscape",cityscape
00dd9b0a-0246-457d-bd45-d70ed09d57d3,"religious, painting",religious art
011e06f8-e3ee-49e8-917a-5a3d0f4b40b9,"Religious, Historical",religious art
01426ca0-38df-40a9-8877-eab362dd7fc1,Impressionism,portrait
016c1c54-ffa2-4819-b414-47aea85a2dff,"landscape, landscape with windmill",landscape painting
01e8e434-a792-4d10-aed3-45d567a7c0d9,"landscape, genre painting",landscape painting
020d2caa-f211-46cd-b7a0-7f198b77a9fc,"portrait, study",portrait
0232caaa-e1d2-47fb-a4f9-01454da286d6,portrait,portrait
0257bb0a-111f-4936-b3f2-9be93555155b,"landscape, cityscape",landscape painting
02992163-d6d5-42ac-999a-b564258dd868,religious,religious art
02d9ac06-57ad-43cc-821e-d5e287fcb919,"landscape, harbor",landscape painting
030bfc90-b09f-420e-8064-2c81a25429c7,"Portraiture, Historical",portrait
03583afd-afa8-48f8-9bb9-0e5de689e305,portrait,portrait
036149e4-127e-44f8-bcc0-0e64bab8506d,"landscape, impressionism",landscape painting
03b7e420-5588-4eb0-a664-76bc88e540b6,"landscape, nautical","landscape painting, marine art"
03c327dc-11bd-47ce-a4e5-37c62591f5c6,"religious, portrait",religious art
03ee7b9e-7f0e-4c22-b94c-37c053e3ef15,Wildlife Painting,animal art
043231b3-93f5-4af1-84d4-44914defe19a,"portrait, childhood",portrait
0452ad45-f422-49c2-85e0-85f534fbda5d,"religious, iconography",religious art
0462b8b9-9313-4a92-8ceb-6dc41ae707e4,"religious, painting",religious art
0486daab-8562-4674-b991-6dbf2d2301be,Still Life,still life
04973ce6-2701-482d-8a80-1fb878534050,"landscape, winter",landscape painting
04bbda49-736a-4823-afc2-7c1d0865b852,"landscape, cityscape",cityscape
04c6c013-9f28-4e5c-b326-a15b7f3629fa,"Portraiture, Baroque",portrait
